merchant_name,category_id,category_name
Marina,87014,Клавиатуры для ноутбуков
plaza.kz,87014,Клавиатуры для ноутбуков
2People,87480,OPS-компьютеры
EAST BREEZE,87480,OPS-компьютеры
Fora,87480,OPS-компьютеры
Fresh breeze,87480,OPS-компьютеры
M-Technics.kz,87480,OPS-компьютеры
MegaNetwork.kz,87480,OPS-компьютеры
Sauda24.kz,87480,OPS-компьютеры
Smart Technology,87480,OPS-компьютеры
SmartLife,87480,OPS-компьютеры
_ALGA_,87480,OPS-компьютеры
ИП QPICK,87480,OPS-компьютеры
О'КЕЙ,87480,OPS-компьютеры
1.kz,57787,Внешние боксы для накопителей
2People,57787,Внешние боксы для накопителей
AVLINE ELECTRONICS,57787,Внешние боксы для накопителей
ChipCityStore,57787,Внешние боксы для накопителей
EAST BREEZE,57787,Внешние боксы для накопителей
Fora,57787,Внешние боксы для накопителей
Fresh breeze,57787,Внешние боксы для накопителей
Hi-Tech (Хайтек),57787,Внешние боксы для накопителей
KupiSam.kz,57787,Внешние боксы для накопителей
M-Technics.kz,57787,Внешние боксы для накопителей
Magnit-it,57787,Внешние боксы для накопителей
MegaNetwork.kz,57787,Внешние боксы для накопителей
Monsprin,57787,Внешние боксы для накопителей
PRINTERSHOP.KZ,57787,Внешние боксы для накопителей
Pro-integrator,57787,Внешние боксы для накопителей
Qural-Saiman,57787,Внешние боксы для накопителей
Sauda24.kz,57787,Внешние боксы для накопителей
Smart Technology,57787,Внешние боксы для накопителей
SmartLife,57787,Внешние боксы для накопителей
TerraByte.kz,57787,Внешние боксы для накопителей
TopShop,57787,Внешние боксы для накопителей
_ALGA_,57787,Внешние боксы для накопителей
ИП QPICK,57787,Внешние боксы для накопителей
О'КЕЙ,57787,Внешние боксы для накопителей
BEST PRICE,57548,Контроллеры для стриминга
Power Plus,57548,Контроллеры для стриминга
Sauda24.kz,57548,Контроллеры для стриминга
TechnoDom.kz,57548,Контроллеры для стриминга
EAST BREEZE,86130,Держатели для провода мыши
Fora,86130,Держатели для провода мыши
Fresh breeze,86130,Держатели для провода мыши
KupiSam.kz,86130,Держатели для провода мыши
Smart Technology,86130,Держатели для провода мыши
SmartLife,86130,Держатели для провода мыши
_ALGA_,86130,Держатели для провода мыши
ИП QPICK,86130,Держатели для провода мыши
О'КЕЙ,86130,Держатели для провода мыши
1.kz,87500,Зарядные док-станции для мышей
2People,87500,Зарядные док-станции для мышей
EAST BREEZE,87500,Зарядные док-станции для мышей
Fora,87500,Зарядные док-станции для мышей
Fresh breeze,87500,Зарядные док-станции для мышей
Power Plus,87500,Зарядные док-станции для мышей
Smart Technology,87500,Зарядные док-станции для мышей
TechnoDom.kz,87500,Зарядные док-станции для мышей
TopShop,87500,Зарядные док-станции для мышей
_ALGA_,87500,Зарядные док-станции для мышей
ИП QPICK,87500,Зарядные док-станции для мышей
О'КЕЙ,87500,Зарядные док-станции для мышей
2People,87919,Инструменты для обслуживания клавиатур
EAST BREEZE,87919,Инструменты для обслуживания клавиатур
Fora,87919,Инструменты для обслуживания клавиатур
Fresh breeze,87919,Инструменты для обслуживания клавиатур
MegaNetwork.kz,87919,Инструменты для обслуживания клавиатур
Smart Technology,87919,Инструменты для обслуживания клавиатур
_ALGA_,87919,Инструменты для обслуживания клавиатур
О'КЕЙ,87919,Инструменты для обслуживания клавиатур
1.kz,86023,Кейкапы для клавиатур
2People,86023,Кейкапы для клавиатур
EAST BREEZE,86023,Кейкапы для клавиатур
Fora,86023,Кейкапы для клавиатур
Fresh breeze,86023,Кейкапы для клавиатур
MegaNetwork.kz,86023,Кейкапы для клавиатур
Power Plus,86023,Кейкапы для клавиатур
Sauda24.kz,86023,Кейкапы для клавиатур
Smart Technology,86023,Кейкапы для клавиатур
SmartLife,86023,Кейкапы для клавиатур
TechnoDom.kz,86023,Кейкапы для клавиатур
TopShop,86023,Кейкапы для клавиатур
_ALGA_,86023,Кейкапы для клавиатур
О'КЕЙ,86023,Кейкапы для клавиатур
1.kz,86746,Крепления для мониторов
ALSER.kz,86746,Крепления для мониторов
BS KAZAKHSTAN,86746,Крепления для мониторов
Best-Market,86746,Крепления для мониторов
EAST BREEZE,86746,Крепления для мониторов
Fora,86746,Крепления для мониторов
Fresh breeze,86746,Крепления для мониторов
MegaNetwork.kz,86746,Крепления для мониторов
Power Plus,86746,Крепления для мониторов
Sauda24.kz,86746,Крепления для мониторов
Smart Technology,86746,Крепления для мониторов
TechnoDom.kz,86746,Крепления для мониторов
TopShop,86746,Крепления для мониторов
ZENTEK,86746,Крепления для мониторов
_ALGA_,86746,Крепления для мониторов
ИП QPICK,86746,Крепления для мониторов
О'КЕЙ,86746,Крепления для мониторов
ПРИОЛЬ,86746,Крепления для мониторов
2People,87038,Наклейки для мыши
EAST BREEZE,87038,Наклейки для мыши
Fora,87038,Наклейки для мыши
Fresh breeze,87038,Наклейки для мыши
