merchant_name,root_category_id,root_category_name
MirGadgets,3703,Unknown
Miras,3703,Unknown
Mobi Go,3703,Unknown
MobiLux,3703,Unknown
MobiTime,3703,Unknown
MobiZone,3703,Unknown
MobilMarket,3703,Unknown
Mobila Park,3703,Unknown
Mobile Market Almaty,3703,Unknown
Mobile Market Kz,3703,Unknown
Mobile Market1,3703,Unknown
Mobile Max,3703,Unknown
Mobile Phones,3703,Unknown
Mobile Shop,3703,Unknown
MobileMarket.Kz,3703,Unknown
MobileMe.kz,3703,Unknown
Mobile_AST,3703,Unknown
Mobile_store,3703,Unknown
Mobilion 2,3703,Unknown
Mobilix,3703,Unknown
Mobitel,3703,Unknown
Monvex,3703,Unknown
Moonee,3703,Unknown
Muslim,3703,Unknown
NBA,3703,Unknown
NNshop,3703,Unknown
NOORA,3703,Unknown
NOVOTELL,3703,Unknown
NURSHOP,3703,Unknown
Nomad group,3703,Unknown
NurMobile,3703,Unknown
NurPhoness,3703,Unknown
Nurtel,3703,Unknown
Oma.kz,3703,Unknown
Online_Sauda,3703,Unknown
PANDA,3703,Unknown
PIXEL,3703,Unknown
POLYAK STORE,3703,Unknown
POLYAK STORE KZ,3703,Unknown
PROSTORE,3703,Unknown
PS SHOP,3703,Unknown
Payphone,3703,Unknown
Phone Line,3703,Unknown
Phone.mobile.krg,3703,Unknown
Planetagsm,3703,Unknown
Plaphonix,3703,Unknown
Platinum,3703,Unknown
Pokupai,3703,Unknown
Power Plus,3703,Unknown
Price-less,3703,Unknown
Pro.mobile18,3703,Unknown
Proservis_kz,3703,Unknown
QUEEN,3703,Unknown
Qajet All,3703,Unknown
Qaz-techno,3703,Unknown
QazTech,3703,Unknown
QazTelecom,3703,Unknown
QazaQ Phone,3703,Unknown
Qmobile,3703,Unknown
Qyran Shop,3703,Unknown
RAMStore02,3703,Unknown
RAU TRADE,3703,Unknown
RAY GOLDEN02,3703,Unknown
RAY_mobile,3703,Unknown
RBS Phone,3703,Unknown
REAL-PRICE.kz,3703,Unknown
RKtel,3703,Unknown
RN online store,3703,Unknown
ROSE PHONE,3703,Unknown
RRR Group KZ,3703,Unknown
RRR_Shop,3703,Unknown
RS Mobile,3703,Unknown
Rayyan Group,3703,Unknown
Real Choice,3703,Unknown
Realme Official Store,3703,Unknown
Rich tell,3703,Unknown
RichPhone,3703,Unknown
SAA T-store,3703,Unknown
SAB_Phones,3703,Unknown
SAMSTORE,3703,Unknown
SAMSUNG ELECTRONICS KAZAKHSTAN,3703,Unknown
SAQ PHONE,3703,Unknown
SCREEN-SHOT,3703,Unknown
SD Market,3703,Unknown
SMART,3703,Unknown
SMART 2025,3703,Unknown
SMART SERVICES,3703,Unknown
SMART.CENTRE,3703,Unknown
SMARTPHONE_KRG,3703,Unknown
SNEL - американский бренд,3703,Unknown
SSSMobila,3703,Unknown
Sabinka-mobile,3703,Unknown
Sale. Kz,3703,Unknown
SalemMART,3703,Unknown
Sali Tel,3703,Unknown
Sancell.,3703,Unknown
Sancell.1,3703,Unknown
Sancell.kz,3703,Unknown
Sauda24.kz,3703,Unknown
Service Pack Original,3703,Unknown
Sezim,3703,Unknown
Sim Phone,3703,Unknown
Smart Sapa,3703,Unknown
Smart Space,3703,Unknown
Smart Technology,3703,Unknown
SmartHan,3703,Unknown
SmartLife,3703,Unknown
Smart_Market,3703,Unknown
Smart_kz,3703,Unknown
Smart_Лидер,3703,Unknown
Smartalmaty,3703,Unknown
Smartshop,3703,Unknown
Smartteh,3703,Unknown
Snimakc store,3703,Unknown
Sonifer,3703,Unknown
SpeedCubes.kz,3703,Unknown
Star.market,3703,Unknown
Sulpak,3703,Unknown
SuperSale,3703,Unknown
Svyaznoi,3703,Unknown
TARGET.KZ,3703,Unknown
TECHNO-VISION,3703,Unknown
TECHNOMAG,3703,Unknown
TECHNOMARKET.KZ,3703,Unknown
TECHNO_LIFE,3703,Unknown
TEZ-STORE,3703,Unknown
TT store,3703,Unknown
TandT Service,3703,Unknown
Tannur,3703,Unknown
Tanuki,3703,Unknown
TeLena mobile store,3703,Unknown
Tech I,3703,Unknown
Tech.Kz,3703,Unknown
TechMarket,3703,Unknown
Techno Retail,3703,Unknown
Techno Solutions,3703,Unknown
Techno UBR,3703,Unknown
TechnoDom.kz,3703,Unknown
TechnoLider,3703,Unknown
Techno_hub,3703,Unknown
Technocom.kz,3703,Unknown
TechoHub.,3703,Unknown
Tecno официальный магазин,3703,Unknown
Tegin,3703,Unknown
TehnoFon,3703,Unknown
TelMarket,3703,Unknown
Telefonika,3703,Unknown
Telena Mobile Store 2,3703,Unknown
Tomiris Gold,3703,Unknown
Top Solution,3703,Unknown
Top store,3703,Unknown
Top-sale,3703,Unknown
TopShop,3703,Unknown
TopStoreKz,3703,Unknown
Totu_kz,3703,Unknown
Trend Service,3703,Unknown
Turan,3703,Unknown
UMMAH STORE,3703,Unknown
Update.kz,3703,Unknown
Upgrade_shop,3703,Unknown
VerBat,3703,Unknown
WorldMac,3703,Unknown
WorldMobileKz,3703,Unknown
XCELL.XCELL,3703,Unknown
XL-Service,3703,Unknown
Xanstore,3703,Unknown
Xiaomi store official,3703,Unknown
Z-Mobile,3703,Unknown
ZERONET,3703,Unknown
Zefkzz,3703,Unknown
Zemfiraphone,3703,Unknown
Zulfiraphone,3703,Unknown
_ALGA_,3703,Unknown
_Тамерлан_,3703,Unknown
adal_mobile,3703,Unknown
apples,3703,Unknown
baypak,3703,Unknown
i Salem,3703,Unknown
iBoom,3703,Unknown
iPro,3703,Unknown
iPro_Almaty,3703,Unknown
iPro_kz,3703,Unknown
iSell,3703,Unknown
iShop.kz,3703,Unknown
iSpace,3703,Unknown
iconnect_kz,3703,Unknown
iПланета,3703,Unknown
k_store_kz,3703,Unknown
mobiline.kzz,3703,Unknown
onemi.kz,3703,Unknown
sankaz,3703,Unknown
sankaz 1,3703,Unknown
sankaz 2,3703,Unknown
t_mobile_kz,3703,Unknown
tell.kz,3703,Unknown
Алина,3703,Unknown
Алия,3703,Unknown
